,ID,Name,N_from,N_from_2023,N_to,N_to_2023,delay_frac_from,delay_frac_from_2023,delay_frac_to,delay_frac_to_2023
279,15411,"Tyler, TX: Tyler Pounds Regional",14922,686,14944,687,0.13852030558906314,0.1661807580174927,0.16247323340471093,0.15138282387190685
196,13502,"Montrose/Delta, CO: Montrose Regional",14719,1974,14765,1978,0.1877844962293634,0.21124620060790272,0.19918726718591262,0.2032355915065723
260,14952,"Springfield, IL: Abraham Lincoln Capital",14713,362,14730,364,0.15951879290423435,0.24033149171270718,0.18628649015614393,0.1510989010989011
30,10666,"Bellingham, WA: Bellingham International",14080,1697,14090,1696,0.10901988636363637,0.1626399528579847,0.14428672817601135,0.20931603773584906
4,10155,"Waco, TX: Waco Regional",13857,696,13888,694,0.14274373962618173,0.1939655172413793,0.17324308755760368,0.15706051873198848
178,13290,"Manhattan/Ft. Riley, KS: Manhattan Regional",13715,545,13757,543,0.14013853445133065,0.07522935779816514,0.1860870829395944,0.11602209944751381
164,13076,"La Crosse, WI: La Crosse Regional",13375,366,13414,365,0.1308411214953271,0.07103825136612021,0.14276129417026986,0.10136986301369863
254,14842,"San Angelo, TX: San Angelo Regional/Mathis Field",13303,746,13326,750,0.15116890926858603,0.13002680965147453,0.16028815848716793,0.13733333333333334
68,11150,"Columbus, GA: Columbus Airport",12988,628,13010,628,0.14998460117031107,0.12579617834394904,0.1665641813989239,0.1337579617834395
252,14828,"Sitka, AK: Sitka Rocky Gutierrez",12878,982,12868,984,0.1100326137599006,0.109979633401222,0.13397575380789556,0.17378048780487804
266,15041,"Sun Valley/Hailey/Ketchum, ID: Friedman Memorial",12786,1167,13790,1175,0.12083528859690286,0.14395886889460155,0.11515591007976794,0.1123404255319149
308,12389,"Williston, ND: Sloulin Field International",12591,0,12658,0,0.12866333095067906,,0.14552061937114869,
151,12891,"Lawton/Fort Sill, OK: Lawton-Fort Sill Regional",12306,636,12323,633,0.1375751665854055,0.12264150943396226,0.1665178933701209,0.10426540284360189
